"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"COMUNICACIÓN DE RECUPERO","2021-03-31","2012-11-30",1289,"QUILMES Nº 9","Buenos Aires","Protocolo 21","2012","05","SEDAN 5 PUERTAS","112","RENAULT","891","SANDERO STEPWAY PRIVILEGE","1","Privado","Física","EZPELETA","BUENOS AIRES","Masculino","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-02","1999-11-10",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","1999","02","SEDAN 4 PUERTAS","024","CHEVROLET","288","ASTRA GLS","1","Privado","Física","RAFAEL CASTILLO","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-02","2006-01-05",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2006","17","SEDAN 5 PUERTAS","37","RENAULT","NW","CLIO 1.2 AUTHENTIQUE CA","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-03","1995-06-02",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","1995","","SEDAN 3 PUERTAS","","CHEVROLET","","CORSA GL 1.4 E.F.I.","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-01","2020-10-26",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","2020","04","RURAL 5 PUERTAS","151","JEEP","102","RENEGADE LONGITUDE 1.8L AT6 AUTOMATICO","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Femenino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-04","1994-04-29",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","1994","26","CHASIS CON CABINA","29","MERCEDES BENZ","47","OHL 1316/51","1","Privado","Física","SAN JUSTO","BUENOS AIRES","No identificado","1984","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2015-03-06",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2015","17","SEDAN 5 PUERTAS","34","PEUGEOT","MK","308 SPORT","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2018-07-18",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","2018","05","SEDAN 5 PUERTAS","136","VOLKSWAGEN","637","POLO COMFORTLINE 1.6 MSI 110CV","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-11","1997-09-08",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","1997","22","SEDAN 3 PUERTAS","024","CHEVROLET","103","CORSA GL 1.6 MPFI","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-11","2017-06-29",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","2017","04","RURAL 5 PUERTAS","151","JEEP","092","RENEGADE 1.8L SPORT","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-11","2005-11-11",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","2005","05","SEDAN 5 PUERTAS","044","FIAT","587","PALIO FIRE 1242 MPI 16V","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1976","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","2002-06-14",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2002","22","FURGON","37","RENAULT","DJ","TRAFIC LARGO DIE.DA (F8Q)","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","2021-01-06",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","2021","04","RURAL 5 PUERTAS","024","CHEVROLET","780","TRACKER 1.2T MT","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1949","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","2000-11-17",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2000","12","SEDAN 4 PUERTAS","37","RENAULT","DZ","RENAULT 19 RE INJECTION","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-17","2016-09-14",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2016","17","SEDAN 5 PUERTAS","19","FORD","XH","FOCUS 5P 1.6L N MT S","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Femenino","1970","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-18","2007-09-17",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","2007","05","SEDAN 5 PTAS","047","FORD","722","FIESTA AMBIENTE MP3","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Femenino","1998","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-18","2007-04-12",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","2007","02","SEDAN 4 PUERTAS","112","RENAULT","566","MEGANE II 1.6L EXPRESSION","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-18","2006-09-21",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2006","17","SEDAN 5 PUERTAS","34","PEUGEOT","FZ","206 PREMIUM 1.6 5P","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1996","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-19","1994-04-28",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","1994","18","SEDAN 3 PTAS","53","VOLKSWAGEN","11","GOL GL","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Femenino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-22","1998-02-19",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","1998","11","SEDAN 2 PUERTAS","17","FIAT","44","UNO S 1.4  3P","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-22","2012-07-12",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","2012","04","RURAL 5 PTAS","027","CITROEN","242","C3 AIRCROSS 1.6I 16V EXCLUSIVE","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-25","2013-03-19",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2013","17","SEDAN 5 PUERTAS","34","PEUGEOT","LZ","207 COMPACT ACTIVE 1.4 N 5P","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1961","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-25","2004-09-20",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2004","20","PICK-UP","68","TOYOTA","16","HILUX 4X4 CAB.DOBLE SRV 3.0 TD","1","Privado","Jurídica","VILLA LUZURIAGA","BUENOS AIRES","No aplica","1998","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-29","2000-08-03",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2000","18","SEDAN 3 PUERTAS","17","FIAT","74","UNO S 1.3 MPI (3P)","1","Privado","Física","LA TABLADA","BUENOS AIRES","Masculino","1999","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-29","2019-04-12",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2019","20","PICK-UP","53","VOLKSWAGEN","7U","AMAROK DC 2.0L TDI 180CV HIGHLINE 4X2 AUT EU5","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-30","2013-10-28",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2013","17","SEDAN 5 PUERTAS","17","FIAT","AY","PALIO (326) ATTRACTIVE 5P 1.4 8V","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Femenino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-31","2006-02-24",1290,"LA MATANZA Nº 13","Buenos Aires","Protocolo 21","2006","02","SEDAN 4 PUERTAS","047","-047-FORD","634","-634- FIESTA 1.6L AMBIENTE /2006","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-08","2007-01-09",1291,"CAMPANA Nº 3","Buenos Aires","Protocolo 21","2007","05","SEDAN 5 PTAS","127","SUZUKI","706","FUN 1.4","1","Privado","Física","CAMPANA","BUENOS AIRES","Femenino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-04","2017-08-15",1291,"CAMPANA Nº 3","Buenos Aires","Protocolo 21","2017","05","SEDAN 5 PUERTAS","024","CHEVROLET","700","ONIX JOY 5P 1.4 N LS MT","1","Privado","Física","CAMPANA","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-10","2007-08-22",1291,"CAMPANA Nº 3","Buenos Aires","Protocolo 21","2007","04","RURAL 5 PTAS","047","FORD","597","ECOSPORT 1.6 L 4X2 XL PLUS","1","Privado","Física","CAMPANA","BUENOS AIRES","Masculino","1974","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","2011-02-16",1291,"CAMPANA Nº 3","Buenos Aires","Importado","2011","05","SEDAN 5 PUERTAS","G89","CHERY","007","QQ LIGHT","1","Privado","Física","CAMPANA","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-19","2016-04-01",1291,"CAMPANA Nº 3","Buenos Aires","Nacional","2016","12","SEDAN 4 PUERTAS","07","CITROEN","DG","C4 LOUNGE HDI 115 MT6 TENDANCE AM16","1","Privado","Física","CAMPANA","BUENOS AIRES","Masculino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-29","2003-04-11",1291,"CAMPANA Nº 3","Buenos Aires","Protocolo 21","2003","30","FURGONETA","044","FIAT","536","FIORINO 1.3 MPI- 2003","1","Privado","Física","CAMPANA","BUENOS AIRES","No identificado","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","1994-12-15",1292,"ALBERTI","Buenos Aires","Nacional","1994","12","SEDAN 4 PTAS","37","RENAULT","AC","RENAULT 9 RN","1","Privado","Física","ALBERTI","BUENOS AIRES","No identificado","1953","ARGENTINA",100,"06","ARG"
"COMUNICACIÓN DE RECUPERO","2021-03-01","2010-01-15",1293,"PILAR Nº 4","Buenos Aires","Protocolo 21","2010","02","SEDAN 4 PTAS","024","CHEVROLET","453","CORSA II 1.8L 4P GL AA+DIR GAS","1","Privado","Física","PILAR","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-02","2011-10-17",1293,"PILAR Nº 4","Buenos Aires","Nacional","2011","17","SEDAN 5 PTAS","37","RENAULT","XK","KANGOO CAMPUS 1.6 2P","1","Privado","Física","PRESIDENTE DERQUI","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-03","2008-03-06",1293,"PILAR Nº 4","Buenos Aires","Nacional","2008","17","SEDAN 5 PTAS","08","CHEVROLET","BC","CORSA CLASSIC SW BASE+AC 1.6N","1","Privado","Física","PTE.DERQUI","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2007-10-04",1293,"PILAR Nº 4","Buenos Aires","Nacional","2007","12","SEDAN 4 PUERTAS","37","RENAULT","SK","CLIO TRIC PACK PLUS 1,2","1","Privado","Física","PRESIDENTE DERQUI","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-10","2008-08-08",1293,"PILAR Nº 4","Buenos Aires","Nacional","","","SEDAN 5 PTAS","37","RENAULT","","LAGUNA RXE","1","Privado","Física","PRESIDENTE DERQUI","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-16","2010-10-28",1293,"PILAR Nº 4","Buenos Aires","Importado","2010","05","SEDAN 5 PUERTAS","104","PEUGEOT","618","207 GTI 156 CV","1","Privado","Física","VILLA ROSA","BUENOS AIRES","Masculino","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-25","2009-05-15",1293,"PILAR Nº 4","Buenos Aires","Nacional","2008","22","FURGON VIDRIADO C/ASIENTOS","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","MANUEL ALBERTI","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-23","2004-02-12",1294,"LA PLATA Nº 16","Buenos Aires","Nacional","2004","20","PICK-UP","68","TOYOTA","13","HILUX 4X4 CABINA DOBLE DX 3.0D","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-04","2000-10-05",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","2000","17","SEDAN 5 PUERTAS","37","RENAULT","DU","CLIO RN 5 PTAS PACK  AA DA","1","Privado","Física","CARLOS_SPEGAZZINI","BUENOS AIRES","No identificado","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2009-05-28",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","2009","17","SEDAN 5 PTAS","08","CHEVROLET","CM","CORSA CLASSIC WAGON GLS 1.4N","1","Privado","Física","LA UNION","BUENOS AIRES","No identificado","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","2012-11-23",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","2012","22","FURGON","34","PEUGEOT","KE","PARTNER CONFORT 1.4","1","Privado","Física","TRISTAN SUAREZ","BUENOS AIRES","No identificado","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","2011-09-29",1295,"EZEIZA Nº 2","Buenos Aires","Protocolo 21","2011","05","SEDAN 5 PTAS","136","VOLKSWAGEN","413","GOL TREND 1.6","1","Privado","Física","TRISTAN SUAREZ","BUENOS AIRES","Femenino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-17","2013-08-20",1295,"EZEIZA Nº 2","Buenos Aires","Importado","2013","04","RURAL 5 PUERTAS","104","PEUGEOT","695","3008 FELINE TIPTRONIC","1","Privado","Física","CARLOS SPEGAZZINI","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-22","2016-12-15",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","2016","17","SEDAN 5 PUERTAS","80","HONDA","10","HR-V LX CVT","1","Privado","Física","EZEIZA","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-02","2001-11-28",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","2001","14","RURAL 4/5 PTAS","08","CHEVROLET","85","CORSA WAGON WIND 1.7D","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-04","1995-04-11",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","1995","18","SEDAN 3 PTAS","53","VOLKSWAGEN","11","GOL GL","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2013-06-24",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Importado","2011","02","SEDAN 4 PUERTAS","136","VOLKSWAGEN","335","BORA 1.8T","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1999","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-25","2017-05-10",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","2017","20","PICK-UP","53","VOLKSWAGEN","5J","AMAROK DC 2.0L TDI 140 CV 4X2 083","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1954","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-30","2007-07-03",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","2007","12","SEDAN 4 PTAS","08","CHEVROLET","AH","CORSA CLASSIC 4 PTAS BASE 1.6N","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-31","2003-10-02",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","2003","18","SEDAN 3 PTAS","08","CHEVROLET","AM","CORSA CLASSIC 3P BASE 1.6N","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-17","2007-03-09",1297,"PUNTA ALTA Nº 2","Buenos Aires","Protocolo 21","2007","05","SEDAN 5 PTAS","024","CHEVROLET","405","MERIVA GL PLUS 1.8 SOHC","1","Privado","Física","PUNTA ALTA - CORONEL ROSALES","BUENOS AIRES","No identificado","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-19","2007-01-23",1298,"TRENQUE LAUQUEN Nº 2","Buenos Aires","Nacional","2007","12","SEDAN 4 PTAS","34","PEUGEOT","ES","PARTNER PATAGONICA 1.9 D","1","Privado","Física","GIRODIAS","BUENOS AIRES","No identificado","1956","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-12","2018-07-26",1299,"MAR DEL PLATA Nº 13","Buenos Aires","Protocolo 21","2018","02","SEDAN 4 PUERTAS","130","TOYOTA","875","COROLLA XLI 1.8 CVT","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","No identificado","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-12","2001-05-24",1299,"MAR DEL PLATA Nº 13","Buenos Aires","Protocolo 21","2001","11","PICK UP","024","CHEVROLET","335","SILVERADO TURBO DIESEL","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","2000","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-18","2006-06-16",1299,"MAR DEL PLATA Nº 13","Buenos Aires","Importado","2006","02","SEDAN 4 PTAS","018","BMW","204","320 D","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-25","2013-01-23",1299,"MAR DEL PLATA Nº 13","Buenos Aires","Nacional","2013","18","SEDAN 3 PTAS","37","RENAULT","YF","CLIO MIO 3P EXPRESSION PACK I","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-01","2008-04-29",1300,"SAN MARTIN Nº 9","Buenos Aires","Protocolo 21","2008","02","SEDAN 4 PTAS","044","FIAT","659","SIENA 1.4 FIRE","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-02","2008-04-03",1300,"SAN MARTIN Nº 9","Buenos Aires","Nacional","2008","17","SEDAN 5 PTAS","34","PEUGEOT","HW","206 XS PREMIUM 1.6 5P TIPTRONIC","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","Femenino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-03","2015-10-29",1300,"SAN MARTIN Nº 9","Buenos Aires","Nacional","2015","12","SEDAN 4 PUERTAS","08","CHEVROLET","DX","CLASSIC 4 P LS ABS+AIRBAG 1.4N","1","Privado","Física","SAN ANDRES","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-03","2013-11-14",1300,"SAN MARTIN Nº 9","Buenos Aires","Protocolo 21","2013","05","SEDAN 5 PUERTAS","024","CHEVROLET","637","CELTA LT 1.4N PACK","1","Privado","Física","VILLA BALLESTER","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-04","2010-10-15",1300,"SAN MARTIN Nº 9","Buenos Aires","Protocolo 21","2010","04","RURAL 5 PTAS","112","RENAULT","643","MEGANE II GTOUR 16V CONFORT PLUS","1","Privado","Física","JOSÉ LEÓN SUÁREZ","BUENOS AIRES","No identificado","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-08","2016-09-07",1300,"SAN MARTIN Nº 9","Buenos Aires","Protocolo 21","2016","02","SEDAN 4 PUERTAS","044","FIAT","841","SIENA EL 1.4","1","Privado","Física","VILLA MAIPU","BUENOS AIRES","Femenino","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-23","2015-05-11",1300,"SAN MARTIN Nº 9","Buenos Aires","Protocolo 21","2015","02","SEDAN 4 PUERTAS","024","CHEVROLET","615","PRISMA 1.4 N LTZ","1","Privado","Física","SAN MARTIN","BUENOS AIRES","Masculino","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-25","2016-05-30",1300,"SAN MARTIN Nº 9","Buenos Aires","Protocolo 21","2016","05","SEDAN 5 PUERTAS","104","PEUGEOT","709","208 ALLURE 1.5 N TOUCHSCREEN","1","Privado","Física","SAN MARTIN","BUENOS AIRES","Masculino","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-29","2001-03-06",1300,"SAN MARTIN Nº 9","Buenos Aires","Protocolo 21","2001","05","SEDAN 5 PTAS","027","CITROEN","129","XSARA SX 1.8I 16V","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","No identificado","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-31","2006-03-02",1300,"SAN MARTIN Nº 9","Buenos Aires","Nacional","2006","17","SEDAN 5 PTAS","34","PEUGEOT","CK","206 XR PREMIUM 1.6 5P","1","Privado","Física","SAN ANDRES","BUENOS AIRES","Masculino","1979","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-31","2012-01-04",1300,"SAN MARTIN Nº 9","Buenos Aires","Importado","2012","22","SEDAN 3 PUERTAS","044","FIAT","751","500 1.4 8V CULT","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","No identificado","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-01","2007-01-09",1301,"TIGRE Nº 6","Buenos Aires","Protocolo 21","2007","22","SEDAN 3 PTAS","136","VOLKSWAGEN","274","GOL 1.6","1","Privado","Física","TIGRE","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-05","1993-06-16",1301,"TIGRE Nº 6","Buenos Aires","Nacional","1993","12","SEDAN 4 PTAS","37","RENAULT","81","RENAULT 12 TL M 1.6","1","Privado","Física","GRAL.PACHECO","BUENOS AIRES","Masculino","1965","ESTADOS UNIDOS",100,"06","USA"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-11","2013-01-30",1302,"NECOCHEA Nº 3","Buenos Aires","Nacional","2013","17","SEDAN 5 PTAS","34","PEUGEOT","JK","207 COMPACT XS 1.4 5P","1","Privado","Física","JUAN N.FERNANDEZ","BUENOS AIRES","No identificado","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-16","2013-12-05",1302,"NECOCHEA Nº 3","Buenos Aires","Protocolo 21","2013","80","PICK-UP CABINA SIMPLE","024","CHEVROLET","578","S10 2.8 4X4 LS","1","Privado","Física","NECOCHEA","BUENOS AIRES","No identificado","1967","ARGENTINA",100,"06","ARG"
