,nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id
147,4594845505,2020-02-09,Trata,Explotación sexual,Victima indirecta - familiar,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
151,4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Mendoza,Palmira,Mujer,No especifica,No,No,50.0
152,4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Mendoza,- Palmira,Hombre,33.0,No,No,50.0
156,4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Mendoza,Palmira,Mujer,19.0,No,No,50.0
157,4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Mendoza,Palmira,Mujer,17.0,No,No,50.0
160,2515845505,2020-02-12,Trata,Persona desaparecida,Victima indirecta - familiar,Paraguay,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,No especifica,No,No,6.0
161,3515845505,2020-02-12,Trata,"Explotación laboral, posible captación",Victima indirecta - familiar,Peru,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
162,3515845505,2020-02-12,Trata,"Explotación laboral, posible captación",Victima directa,Peru,No especifica,No especifica,Mujer,20.0,No,No,No especifica
164,2525845505,2020-02-13,Trata,Oferta laboral engañosa,Victima indirecta - familiar,Peru,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
165,2525845505,2020-02-13,Trata,Oferta laboral engañosa,Victima directa,Peru,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
166,8435845505,2020-02-14,Trata,Abuso sexual infantil,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
168,7535845505,2020-02-14,Trata,Explotación laboral,Victima directa,Argentina,Tucumán,San Miguel de Tucumán,Hombre,No especifica,No,No,90.0
169,7535845505,2020-02-14,Trata,Explotación laboral,Victima directa,Argentina,Tucumán,San Miguel de Tucumán,Hombre,No especifica,No,No,90.0
171,1545845505,2020-02-14,Trata,Explotación sexual,Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,No especifica,No,No,82.0
172,1545845505,2020-02-14,Trata,Explotación sexual,Acusado,Argentina,Santa Fe,Santa Fe,Hombre,No especifica,No,No,82.0
173,1545845505,2020-02-14,Trata,Explotación sexual,Victima indirecta - familiar,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
174,3545845505,2020-02-15,Trata,Trata de personas,Acusado,Haiti,Buenos Aires,Villa Sarmiento,Mujer,35.0,No,No,6.0
175,3545845505,2020-02-15,Trata,Trata de personas,Acusado,Camerun,Buenos Aires,Villa Sarmiento,Hombre,35.0,No,No,6.0
180,2555845505,2020-02-16,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Luján,Mujer,24.0,No,No,6.0
181,2555845505,2020-02-16,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Luján,Mujer,22.0,Si,No,6.0
185,2565845505,2020-02-18,Trata,Explotación sexual,Acusado,No especifica,Buenos Aires,Temperley,Mujer,No especifica,No,No,6.0
186,7565845505,2020-02-18,Trata,Oferta laboral engañosa,Acusado,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,No especifica,No,No,6.0
188,6575845505,2020-02-19,Trata,Explotación sexual,Acusado,Paraguay,Buenos Aires,No especifica,Mujer,No especifica,No,No,6.0
189,6575845505,2020-02-19,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
190,1584945505,2020-02-20,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,Bolivia,Buenos Aires,La Tablada,Hombre,45.0,No,No,6.0
191,3584945505,2020-02-20,Trata,Abuso sexual de menores,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
192,3584945505,2020-02-20,Trata,Abuso sexual de menores,Victima indirecta - familiar,Argentina,Buenos Aires,Lomas de Zamora,Mujer,No especifica,No,No,6.0
194,7584945505,2020-02-20,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,José Mármol,Mujer,14.0,No,No,6.0
196,2594945505,2020-02-21,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
197,3594945505,2020-02-21,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,39.0,No,No,No especifica
205,5515945505,2020-02-25,Trata,"Explotación sexual, abuso sexual infantil",Victima directa,Argentina,Corrientes,Esquina,Mujer,No especifica,No,No,18.0
209,7525945505,2020-02-26,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
210,535945505,2020-02-26,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
213,5535945505,2020-02-26,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,No especifica,Mujer,63.0,No,Si,6.0
215,5535945505,2020-02-26,Trata,Persona desaparecida,Victima indirecta - familiar,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
228,4555945505,2020-02-28,Trata,Oferta laboral engañosa,Acusado,Argentina,Buenos Aires,Buenos Aires,Hombre,No especifica,No,No,6.0
229,5555945505,2020-02-28,Trata,Oferta laboral engañosa,Acusado,Argentina,Buenos Aires,Buenos Aires,Hombre,No especifica,No,No,6.0
230,6555945505,2020-02-28,Trata,"Posible abuso sexual infantil, violencia física",Acusado,Argentina,Buenos Aires,Lanús Oeste,Hombre,No especifica,No,No,6.0
231,6555945505,2020-02-28,Trata,"Posible abuso sexual infantil, violencia física",Victima directa,Argentina,Buenos Aires,Lanús Oeste,Hombre,11.0,No,No,6.0
232,7545945505,2020-02-27,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,20.0,No,No,No especifica
236,1565945505,2020-02-29,Trata,Problemas de salud mental,Victima directa,Argentina,Río Negro,San Carlos de Bariloche,Hombre,20.0,No,No,62.0
237,7565945505,2020-03-01,Trata,Posible captación,Acusado,Argentina,Mendoza,Rodeo de la Cruz,Mujer,No especifica,No,No,50.0
238,8484055505,2020-03-03,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Guernica,Mujer,14.0,Si,No,6.0
241,584055505,2020-03-03,Trata,Publicidad de oferta sexual,Victima directa,Argentina,Buenos Aires,La Plata,Mujer,No especifica,No,No,6.0
243,7584055505,2020-03-04,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
244,7584055505,2020-03-04,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
246,3584055505,2020-03-03,Trata,Explotación laboral,Victima directa,Argentina,Misiones,Cerro Azul,Hombre,No especifica,No,No,54.0
248,4594055505,2020-03-04,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
249,4594055505,2020-03-04,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
250,8405055505,2020-03-04,Trata,"Explotación laboral, oferta laboral engañosa, posible captación, reducción a la servidumbre o situaciones análogas",Imputado,China,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
252,7505055505,2020-03-05,Trata,Explotación laboral,Victima directa,Paraguay,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
253,7505055505,2020-03-05,Trata,Explotación laboral,Victima directa,Paraguay,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
254,7505055505,2020-03-05,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
261,8435055505,2020-03-06,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
262,3535055505,2020-03-07,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
266,3545055505,2020-03-08,Trata,Explotación laboral,Victima directa,Paraguay,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
267,3545055505,2020-03-08,Trata,Explotación laboral,Victima directa,Paraguay,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
268,3545055505,2020-03-08,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
272,5555055505,2020-03-09,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Libertad,Transexual,No especifica,No,No,6.0
275,1565055505,2020-03-10,Trata,Explotación laboral,Acusado,Bolivia,Buenos Aires,Del Viso,Hombre,No especifica,No,No,6.0
278,2565055505,2020-03-10,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
279,2565055505,2020-03-10,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
292,3594155505,2020-03-12,Trata,Explotación sexual,Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,No especifica,No,No,82.0
294,8405155505,2020-03-13,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,30.0,No,No,No especifica
295,8405155505,2020-03-13,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,24.0,No,No,No especifica
296,505155505,2020-03-13,Trata,Explotación sexual,Victima directa,Paraguay,Buenos Aires,Bahía Blanca,Mujer,60.0,No,No,6.0
300,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima directa,Argentina,Misiones,Posadas,Mujer,14.0,No,No,54.0
301,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Acusado,Argentina,Misiones,Posadas,Mujer,45.0,No,No,54.0
302,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Acusado,Argentina,Misiones,Posadas,Hombre,30.0,No,No,54.0
303,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima indirecta - familiar,Argentina,Misiones,Posadas Posadas,Mujer,16.0,No,No,54.0
304,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima indirecta - familiar,Argentina,Misiones,Posadas,Mujer,No especifica,No,No,54.0
305,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima indirecta - familiar,Argentina,Misiones,Posadas,Mujer,No especifica,No,No,54.0
306,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima indirecta - familiar,Argentina,Misiones,Posadas,Mujer,11.0,No,No,54.0
307,7505155505,2020-03-13,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,26.0,No,No,No especifica
308,515155505,2020-03-13,Trata,Explotación sexual,Acusado,Paraguay,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
309,1515155505,2020-03-13,Trata,Explotación sexual,Acusado,Paraguay,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
311,3515155505,2020-03-14,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,No especifica,Mujer,19.0,No,No,6.0
318,5515155505,2020-03-14,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,No especifica,Mujer,19.0,No,No,6.0
322,9435155505,2020-03-16,Trata,Abuso sexual infantil,Acusado,Argentina,Buenos Aires,No especifica,Mujer,No especifica,No,No,6.0
325,3535155505,2020-03-17,Trata,Violencia familiar,Victima directa,Argentina,Santa Fe,Santa Fe,Hombre,27.0,No,No,82.0
328,3545155505,2020-03-18,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Ranelagh,Mujer,No especifica,No,No,6.0
329,3545155505,2020-03-18,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Ranelagh,Hombre,No especifica,No,No,6.0
330,5545155505,2020-03-18,Trata,Explotación laboral,Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
331,5545155505,2020-03-18,Trata,Explotación laboral,Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
332,5545155505,2020-03-18,Trata,Explotación laboral,Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
334,7545155505,2020-03-18,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
335,2535255505,2020-03-28,Trata,Persona desaparecida,Victima directa,Brasil,No especifica,No especifica,Transexual,24.0,No,No,No especifica
343,5575255505,2020-04-04,Trata,Datos falsos,Victima directa,Venezuela,Buenos Aires,Paso del Rey,Mujer,32.0,No,No,6.0
348,8415355505,2020-04-07,Trata,Servidumbre doméstica,Victima directa,Paraguay,Buenos Aires,Caseros,Mujer,57.0,No,No,6.0
355,3525355505,2020-04-08,Trata,Estupro,Victima directa,Argentina,Buenos Aires,Mar del Tuyú,Hombre,17.0,No,No,6.0
358,6535355505,2020-04-10,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Libertad,Transexual,43.0,No,No,6.0
361,6565355505,2020-04-13,Trata,Explotación laboral,Acusado,Bolivia,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
367,3584455505,2020-04-16,Trata,Salud - vacunación antigripal,Victima indirecta - familiar,Argentina,Entre Ríos,Concordia,Mujer,70.0,No,No,30.0
368,594455505,2020-04-16,Trata,Explotación sexual,Victima directa,Argentina,Salta,Cerrillos,Mujer,No especifica,No,No,66.0
373,8465155505,2020-03-21,Trata,Oferta laboral engañosa,Victima directa,Argentina,Corrientes,Paso de los Libres,Mujer,15.0,No,No,18.0
374,8465155505,2020-03-21,Trata,Oferta laboral engañosa,Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
375,8405255505,2020-03-23,Trata,Privacion ilegitima de la libertad,Victima directa,Argentina,Buenos Aires,Pergamino,Mujer,No especifica,No,No,6.0
376,2545255505,2020-03-30,Trata,Ofrecimiento,Victima directa,Argentina,Córdoba,Villa Carlos Paz,Mujer,67.0,No,No,14.0
377,8405455505,2020-04-17,Trata,Violencia familiar,Acusado,Peru,No especifica,No especifica,Mujer,30.0,No,No,No especifica
378,9405455505,2020-04-17,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Paraguay,No especifica,No especifica,Mujer,15.0,No,No,No especifica
391,6515455505,2020-04-19,Trata,"Explotación sexual, covid 19",Victima directa,Paraguay,Buenos Aires,La Plata,Mujer,No especifica,No,No,6.0
399,5535455505,2020-04-21,Trata,"Explotación sexual, posible captación",Victima directa,Paraguay,No especifica,No especifica,Mujer,27.0,No,No,No especifica
400,7535455505,2020-04-21,Trata,Explotación laboral,Acusado,Bolivia,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
401,9445455505,2020-04-21,Trata,Violencia familiar,Victima indirecta - familiar,Argentina,No especifica,No especifica,Hombre,4.0,No,No,No especifica
402,9445455505,2020-04-21,Trata,Violencia familiar,Victima indirecta - familiar,Argentina,No especifica,No especifica,Hombre,2.0,No,No,No especifica
